./dnspython.git/tests/test_transaction.py,"for key in self.rdatasets.keys():
    if key[0] == name:
        remove.append()","(57, 59)",1,F2L.2
./dnspython.git/tests/test_dnssec.py,"for (name, key_rrset) in abs_keys.items():
    keys[name] = dns.node.Node()
    keys[name].rdatasets.append(key_rrset.to_rdataset())","(399, 401)",0,F2L.1
./dnspython.git/tests/test_dnssec.py,"for rdata in [example_ds_sha1, example_ds_sha256, example_ds_sha384]:
    (flags, digest) = rdata.to_text().rsplit(' ', 1)
    dns.rdata.from_text(dns.rdataclass.IN, dns.rdatatype.DS, f'{flags} {digest}')
    test_records.append(f'{flags} {digest[:len(digest) // 2]}')
    test_records.append(f'{flags} {digest * 2}')","(520, 527)",1,F2L.1
./dnspython.git/dns/resolver.py,"for err in errors:
    texts.append('Server {} {} port {} answered {}'.format(err[0], 'TCP' if err[1] else 'UDP', err[2], err[3]))","(142, 144)",1,F2L.1
./dnspython.git/dns/resolver.py,"for item in tuples:
    addresses.append(item[4][0])","(1505, 1506)",1,F2L.1
./dnspython.git/dns/resolver.py,"for qname1 in e_nx.kwargs.get('qnames', []):
    if qname1 not in qnames0:
        qnames0.append()
    if qname1 in responses1:
        responses0[qname1] = responses1[qname1]","(105, 109)",0,F2L.2
./dnspython.git/dns/resolver.py,"for (k, v) in self.data.items():
    if v.expiration <= now:
        keys_to_delete.append()","(341, 343)",1,F2L.2
./dnspython.git/dns/resolver.py,"for socktype in socktypes:
    for proto in _protocols_for_socktype[socktype]:
        tuples.append((socket.AF_INET6, socktype, proto, cname, (addr, port, 0, 0)))","(1427, 1430)",1,F2L.5
./dnspython.git/dns/resolver.py,"for socktype in socktypes:
    for proto in _protocols_for_socktype[socktype]:
        tuples.append((socket.AF_INET, socktype, proto, cname, (addr, port)))","(1433, 1436)",1,F2L.5
./dnspython.git/dns/resolver.py,"for rdata in v6.rrset:
    v6addrs.append(rdata.address)","(1383, 1384)",1,F2L.1
./dnspython.git/dns/resolver.py,"for rdata in v4.rrset:
    v4addrs.append(rdata.address)","(1391, 1392)",1,F2L.1
./dnspython.git/dns/resolver.py,"for proto in _protocols_for_socktype[socktype]:
    tuples.append((socket.AF_INET6, socktype, proto, cname, (addr, port, 0, 0)))","(1428, 1430)",1,F2L.1
